ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
92027,87.4%,8 06,96.3%,4 30,22.3%,2 19,65.7%,1 79,1 08
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
92028,57.0%,"2 ,560",67.1%,"1 ,631",58.7%,9 76,37.9%,6 15,4 46
92029,60.5%,6 82,22.1%,4 25,10.1%,3 48,67.2%,3 16,1 89
92036,8.1%,9 66,18.3%,8 94,18.9%,7 56,24.2%,6 36,5 12
92037,123.4%,2 10,36.2%,9 4,9.5%,6 9,14.5%,6 3,5 5
92040,86.5%,9 27,49.7%,4 97,49.5%,3 32,12.7%,2 22,1 97
92054,220.0%,9 6,130.8%,3 0,8.3%,1 3,9.1%,1 2,1 1
92055,0.0%,1,0.0%,-,0.0%,-,0.0%,-,-
92056,413.9%,1 85,100.0%,3 6,28.6%,1 8,27.3%,1 4,1 1
92057,258.7%,3 91,113.7%,1 09,96.2%,5 1,36.8%,2 6,1 9
92058,403.0%,1 66,83.3%,3 3,38.5%,1 8,116.7%,1 3,6
92059,-3.4%,8 4,22.5%,8 7,-52.7%,7 1,19.0%,1 50,1 26
92060,19.8%,1 27,16.5%,1 06,0.0%,9 1,0.0%,-,-
92061,33.1%,2 29,68.6%,1 72,92.5%,1 02,32.5%,5 3,4 0
92064,109.8%,8 35,53.7%,3 98,27.0%,2 59,45.7%,2 04,1 40
92065,31.6%,"2 ,701",31.6%,"2 ,052",25.4%,"1 ,559",27.6%,"1 ,243",9 74
92066,20.0%,3 0,4.2%,2 5,4.3%,2 4,21.1%,2 3,1 9
92067,78.5%,4 41,28.6%,2 47,10.3%,1 92,241.2%,1 74,5 1
92069,114.2%,4 37,29.9%,2 04,4.0%,1 57,31.3%,1 51,1 15
92070,-1.6%,1 25,11.4%,1 27,35.7%,1 14,58.5%,8 4,5 3
92071,214.4%,5 91,141.0%,1 88,62.5%,7 8,71.4%,4 8,2 8
92075,331.3%,6 9,128.6%,1 6,0.0%,7,250.0%,7,2
92078,148.9%,7 99,40.8%,3 21,35.7%,2 28,30.2%,1 68,1 29
92081,189.3%,8 1,40.0%,2 8,25.0%,2 0,100.0%,1 6,8
92082,39.2%,"2 ,207",65.8%,"1 ,585",112.4%,9 56,36.8%,4 50,3 29
92083,126.9%,5 9,85.7%,2 6,0.0%,1 4,27.3%,1 4,1 1
92084,59.3%,7 68,29.6%,4 82,24.0%,3 72,88.7%,3 00,1 59
92086,6.4%,3 51,4.1%,3 30,23.3%,3 17,40.4%,2 57,1 83
92091,74.0%,8 7,16.3%,5 0,34.4%,4 3,60.0%,3 2,2 0
92101,105.0%,4 1,25.0%,2 0,0.0%,1 6,-11.1%,1 6,1 8
92102,17.8%,1 85,-4.3%,1 57,-10.4%,1 64,-7.1%,1 83,1 97
92103,74.0%,1 27,30.4%,7 3,3.7%,5 6,-20.6%,5 4,6 8
92104,33.8%,9 1,3.0%,6 8,0.0%,6 6,-7.0%,6 6,7 1
92105,69.3%,3 03,0.6%,1 79,-10.1%,1 78,-5.7%,1 98,2 10
92106,154.5%,2 8,0.0%,1 1,10.0%,1 1,-9.1%,1 0,1 1
92107,44.4%,6 5,7.1%,4 5,5.0%,4 2,-4.8%,4 0,4 2
92108,800.0%,4 5,0.0%,5,66.7%,5,50.0%,3,2
92109,93.9%,6 4,13.8%,3 3,-9.4%,2 9,-11.1%,3 2,3 6
92110,70.8%,4 1,9.1%,2 4,0.0%,2 2,-15.4%,2 2,2 6
92111,378.6%,1 34,16.7%,2 8,0.0%,2 4,0.0%,2 4,2 4
92113,6.7%,2 56,-4.4%,2 40,-10.4%,2 51,-8.5%,2 80,3 06
92114,49.0%,1 49,7.5%,1 00,-10.6%,9 3,-11.9%,1 04,1 18
92115,178.2%,1 53,34.1%,5 5,5.1%,4 1,-4.9%,3 9,4 1
92116,87.6%,1 82,26.0%,9 7,-1.3%,7 7,1.3%,7 8,7 7
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
92117,266.7%,1 54,44.8%,4 2,0.0%,2 9,0.0%,2 9,2 9
92118,240.0%,1 7,66.7%,5,50.0%,3,-33.3%,2,3
92119,255.6%,2 56,105.7%,7 2,16.7%,3 5,50.0%,3 0,2 0
92120,151.0%,2 46,50.8%,9 8,6.6%,6 5,24.5%,6 1,4 9
92121,238.9%,6 1,50.0%,1 8,33.3%,1 2,50.0%,9,6
92122,326.3%,8 1,90.0%,1 9,-16.7%,1 0,33.3%,1 2,9
92123,177.3%,6 1,120.0%,2 2,0.0%,1 0,11.1%,1 0,9
92124,264.9%,2 81,113.9%,7 7,-12.2%,3 6,36.7%,4 1,3 0
92126,229.2%,3 95,57.9%,1 20,22.6%,7 6,34.8%,6 2,4 6
92127,261.2%,6 61,96.8%,1 83,45.3%,9 3,68.4%,6 4,3 8
92128,217.9%,3 56,100.0%,1 12,1.8%,5 6,61.8%,5 5,3 4
92129,155.4%,7 56,37.0%,2 96,5.9%,2 16,131.8%,2 04,8 8
92130,238.2%,5 31,63.5%,1 57,9.1%,9 6,114.6%,8 8,4 1
92131,82.0%,8 59,25.9%,4 72,15.0%,3 75,13.2%,3 26,2 88
92139,75.0%,4 2,9.1%,2 4,10.0%,2 2,-4.8%,2 0,2 1
92154,300.0%,1 96,36.1%,4 9,12.5%,3 6,28.0%,3 2,2 5
92173,25.0%,2 5,0.0%,2 0,17.6%,2 0,13.3%,1 7,1 5
94102,50.0%,9,20.0%,6,-28.6%,5,40.0%,7,5
94103,81.8%,2 0,22.2%,1 1,0.0%,9,-25.0%,9,1 2
94105,200.0%,9,200.0%,3,0.0%,1,0.0%,1,-
94107,77.8%,1 6,-10.0%,9,25.0%,1 0,-20.0%,8,1 0
94108,300.0%,4,0.0%,1,0.0%,1,0.0%,1,1
94109,136.4%,2 6,37.5%,1 1,14.3%,8,-12.5%,7,8
94110,125.0%,1 08,-7.7%,4 8,-14.8%,5 2,-6.2%,6 1,6 5
94111,100.0%,2,0.0%,1,0.0%,1,0.0%,1,-
94112,415.6%,1 65,23.1%,3 2,-18.8%,2 6,0.0%,3 2,3 2
94114,250.0%,5 6,33.3%,1 6,-7.7%,1 2,18.2%,1 3,1 1
94115,72.2%,3 1,80.0%,1 8,-9.1%,1 0,0.0%,1 1,1 1
94116,390.9%,5 4,0.0%,1 1,10.0%,1 1,11.1%,1 0,9
94117,84.6%,4 8,30.0%,2 6,-16.7%,2 0,-7.7%,2 4,2 6
94118,194.7%,5 6,0.0%,1 9,11.8%,1 9,13.3%,1 7,1 5
94121,300.0%,6 0,25.0%,1 5,9.1%,1 2,22.2%,1 1,9
94122,285.7%,8 1,40.0%,2 1,-11.8%,1 5,-10.5%,1 7,1 9
94123,129.4%,3 9,13.3%,1 7,36.4%,1 5,0.0%,1 1,1 1
94124,77.1%,6 2,9.4%,3 5,0.0%,3 2,-11.1%,3 2,3 6
94127,750.0%,5 1,50.0%,6,0.0%,4,-33.3%,4,6
94129,0.0%,-,0.0%,-,0.0%,-,0.0%,-,-
94130,0.0%,1,0.0%,1,0.0%,1,0.0%,1,1
94131,189.5%,5 5,46.2%,1 9,-7.1%,1 3,-17.6%,1 4,1 7
94132,287.5%,3 1,-11.1%,8,0.0%,9,50.0%,9,6
94133,60.0%,2 4,0.0%,1 5,7.1%,1 5,0.0%,1 4,1 4
94134,371.4%,6 6,0.0%,1 4,-17.6%,1 4,-5.6%,1 7,1 8
94158,0.0%,5,0.0%,5,66.7%,5,-50.0%,3,6
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 30,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
95202,35.7%,1 9,7.7%,1 4,18.2%,1 3,-8.3%,1 1,1 2
95203,31.4%,6 7,-1.9%,5 1,-1.9%,5 2,-11.7%,5 3,6 0
95204,38.2%,4 7,21.4%,3 4,7.7%,2 8,-13.3%,2 6,3 0
95205,31.7%,1 33,-3.8%,1 01,-5.4%,1 05,0.0%,1 11,1 11
95206,24.1%,1 08,3.6%,8 7,-5.6%,8 4,-3.3%,8 9,9 2
95207,100.0%,3 4,70.0%,1 7,11.1%,1 0,-10.0%,9,1 0
95209,87.5%,1 5,0.0%,8,-11.1%,8,0.0%,9,9
95210,157.1%,1 8,16.7%,7,-14.3%,6,-22.2%,7,9
95212,233.3%,2 0,100.0%,6,-25.0%,3,0.0%,4,4
95215,90.6%,6 1,-11.1%,3 2,2.9%,3 6,-27.1%,3 5,4 8
95219,200.0%,1 5,0.0%,5,-16.7%,5,0.0%,6,6
95220,50.0%,9,50.0%,6,300.0%,4,-50.0%,1,2
95227,0.0%,5,0.0%,-,0.0%,-,0.0%,-,-
95230,150.0%,1 0,33.3%,4,-25.0%,3,33.3%,4,3
95231,133.3%,7,200.0%,3,0.0%,1,-50.0%,1,2
95236,0.0%,4,0.0%,4,0.0%,-,0.0%,-,-
95237,200.0%,3,0.0%,1,0.0%,-,0.0%,-,-
95240,216.7%,1 9,0.0%,6,50.0%,6,33.3%,4,3
95242,166.7%,8,50.0%,3,0.0%,2,-33.3%,2,3
95258,200.0%,3,0.0%,1,0.0%,1,0.0%,1,1
95304,175.0%,1 1,33.3%,4,50.0%,3,-60.0%,2,5
95320,-44.4%,1 0,260.0%,1 8,66.7%,5,0.0%,3,3
95330,800.0%,9,-50.0%,1,0.0%,2,-100.0%,-,2
95336,433.3%,3 2,50.0%,6,0.0%,4,33.3%,4,3
95337,53.3%,2 3,50.0%,1 5,-9.1%,1 0,22.2%,1 1,9
95366,100.0%,2,0.0%,1,-50.0%,1,0.0%,2,2
95376,320.0%,2 1,66.7%,5,0.0%,3,0.0%,3,3
95377,57.1%,2 2,55.6%,1 4,-18.2%,9,0.0%,1 1,1 1
95391,0.0%,1 3,0.0%,-,0.0%,-,0.0%,-,-
93401,87.0%,2 30,57.7%,1 23,23.8%,7 8,23.5%,6 3,5 1
93402,75.5%,8 6,53.1%,4 9,45.5%,3 2,100.0%,2 2,1 1
93405,121.7%,2 04,87.8%,9 2,-14.0%,4 9,62.9%,5 7,3 5
93420,51.5%,3 12,48.2%,2 06,52.7%,1 39,51.7%,9 1,6 0
93422,101.1%,5 25,47.5%,2 61,65.4%,1 77,25.9%,1 07,8 5
93424,92.5%,1 02,140.9%,5 3,0.0%,2 2,0.0%,-,-
93428,40.6%,2 39,31.8%,1 70,67.5%,1 29,54.0%,7 7,5 0
93430,33.3%,3 6,17.4%,2 7,53.3%,2 3,25.0%,1 5,1 2
93432,24.1%,7 2,18.4%,5 8,-2.0%,4 9,66.7%,5 0,3 0
93433,300.0%,1 2,0.0%,3,200.0%,3,0.0%,1,1
93435,-50.0%,1,100.0%,2,0.0%,1,0.0%,1,1
93442,108.7%,4 8,35.3%,2 3,183.3%,1 7,20.0%,6,5
93444,118.2%,7 2,43.5%,3 3,0.0%,2 3,43.8%,2 3,1 6
93445,700.0%,8,0.0%,1,0.0%,-,-100.0%,-,1
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year o,ver Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
93446,61.8%,5 13,60.9%,3 17,56.3%,1 97,28.6%,1 26,9 8
93449,342.9%,1 24,115.4%,2 8,44.4%,1 3,-18.2%,9,1 1
93451,41.7%,6 8,26.3%,4 8,72.7%,3 8,83.3%,2 2,1 2
93452,-7.7%,1 2,8.3%,1 3,71.4%,1 2,0.0%,7,7
93453,13.2%,1 63,26.3%,1 44,3.6%,1 14,48.6%,1 10,7 4
93461,0.0%,3,0.0%,3,0.0%,3,50.0%,3,2
93465,82.0%,1 11,64.9%,6 1,85.0%,3 7,122.2%,2 0,9
94002,205.6%,5 5,38.5%,1 8,44.4%,1 3,28.6%,9,7
94005,56.3%,2 5,23.1%,1 6,160.0%,1 3,25.0%,5,4
94010,140.5%,1 90,58.0%,7 9,61.3%,5 0,10.7%,3 1,2 8
94014,268.2%,8 1,100.0%,2 2,-8.3%,1 1,71.4%,1 2,7
94015,88.2%,3 2,88.9%,1 7,0.0%,9,12.5%,9,8
94018,0.0%,1 4,0.0%,-,0.0%,-,0.0%,-,-
94019,42.7%,1 17,43.9%,8 2,14.0%,5 7,85.2%,5 0,2 7
94020,9.8%,1 01,13.6%,9 2,37.3%,8 1,31.1%,5 9,4 5
94021,3.8%,2 7,8.3%,2 6,50.0%,2 4,128.6%,1 6,7
94025,164.7%,4 5,54.5%,1 7,22.2%,1 1,12.5%,9,8
94027,160.0%,3 9,200.0%,1 5,-44.4%,5,80.0%,9,5
94028,84.2%,2 21,66.7%,1 20,26.3%,7 2,29.5%,5 7,4 4
94030,229.4%,5 6,183.3%,1 7,20.0%,6,66.7%,5,3
94037,61.5%,2 1,18.2%,1 3,22.2%,1 1,50.0%,9,6
94038,44.4%,1 3,200.0%,9,200.0%,3,-50.0%,1,2
94044,98.1%,2 12,25.9%,1 07,16.4%,8 5,28.1%,7 3,5 7
94060,2.1%,9 7,15.9%,9 5,41.4%,8 2,56.8%,5 8,3 7
94061,357.1%,3 2,133.3%,7,200.0%,3,0.0%,1,-
94062,38.7%,3 69,43.8%,2 66,65.2%,1 85,40.0%,1 12,8 0
94063,60.0%,1 6,66.7%,1 0,-25.0%,6,14.3%,8,7
94065,100.0%,2,0.0%,1,0.0%,-,0.0%,-,-
94066,469.2%,7 4,225.0%,1 3,0.0%,4,-20.0%,4,5
94070,89.1%,8 7,109.1%,4 6,37.5%,2 2,77.8%,1 6,9
94074,10.0%,2 2,53.8%,2 0,62.5%,1 3,-20.0%,8,1 0
94080,310.0%,4 1,150.0%,1 0,100.0%,4,0.0%,2,2
94128,-100.0%,-,0.0%,1,0.0%,-,0.0%,-,-
94303,123.1%,2 9,-18.8%,1 3,-23.8%,1 6,16.7%,2 1,1 8
94401,271.4%,2 6,40.0%,7,-16.7%,5,0.0%,6,6
94402,173.9%,6 3,76.9%,2 3,62.5%,1 3,100.0%,8,4
94403,85.7%,2 6,1300.0%,1 4,0.0%,1,0.0%,-,-
94404,233.3%,1 0,50.0%,3,100.0%,2,-50.0%,1,2
93013,34.9%,2 28,17.4%,1 69,46.9%,1 44,145.0%,9 8,4 0
93067,182.4%,4 8,88.9%,1 7,28.6%,9,600.0%,7,1
93101,150.0%,9 5,58.3%,3 8,4.3%,2 4,27.8%,2 3,1 8
93103,55.2%,3 88,30.2%,2 50,45.5%,1 92,25.7%,1 32,1 05
93105,28.3%,"1 ,065",10.1%,8 30,22.8%,7 54,34.1%,6 14,4 58
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 32,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
93108,25.5%,"1 ,150",26.0%,9 16,37.7%,7 27,59.0%,5 28,3 32
93109,121.1%,4 2,90.0%,1 9,-9.1%,1 0,22.2%,1 1,9
93110,201.9%,1 63,35.0%,5 4,66.7%,4 0,60.0%,2 4,1 5
93111,150.0%,2 10,25.4%,8 4,34.0%,6 7,19.0%,5 0,4 2
93117,60.2%,2 82,1.7%,1 76,23.6%,1 73,44.3%,1 40,9 7
93254,-33.3%,1 6,84.6%,2 4,30.0%,1 3,0.0%,1 0,1 0
93427,69.2%,6 6,0.0%,3 9,225.0%,3 9,500.0%,1 2,2
93429,50.0%,3,0.0%,2,100.0%,2,0.0%,1,1
93434,66.7%,1 0,20.0%,6,-16.7%,5,-14.3%,6,7
93436,77.9%,2 65,55.2%,1 49,21.5%,9 6,163.3%,7 9,3 0
93440,46.4%,4 1,100.0%,2 8,16.7%,1 4,200.0%,1 2,4
93441,2.1%,4 8,-6.0%,4 7,16.3%,5 0,104.8%,4 3,2 1
93454,37.0%,1 00,14.1%,7 3,33.3%,6 4,37.1%,4 8,3 5
93455,197.4%,1 16,160.0%,3 9,66.7%,1 5,50.0%,9,6
93458,0.0%,4 4,-100.0%,-,0.0%,2,0.0%,2,2
93460,9.8%,1 57,23.3%,1 43,61.1%,1 16,100.0%,7 2,3 6
93463,106.4%,9 7,123.8%,4 7,40.0%,2 1,114.3%,1 5,7
94022,122.9%,2 43,31.3%,1 09,69.4%,8 3,22.5%,4 9,4 0
94024,72.2%,1 55,40.6%,9 0,42.2%,6 4,60.7%,4 5,2 8
94040,150.0%,1 0,33.3%,4,0.0%,3,0.0%,3,3
94041,0.0%,4,0.0%,-,0.0%,-,0.0%,-,-
94043,233.3%,1 0,200.0%,3,0.0%,1,0.0%,1,1
94085,600.0%,7,0.0%,1,0.0%,1,0.0%,-,-
94086,160.0%,1 3,66.7%,5,-25.0%,3,33.3%,4,3
94087,266.7%,1 1,50.0%,3,100.0%,2,-50.0%,1,2
94089,650.0%,1 5,0.0%,2,0.0%,-,0.0%,-,-
94301,141.7%,2 9,33.3%,1 2,0.0%,9,80.0%,9,5
94304,83.3%,1 1,20.0%,6,0.0%,5,150.0%,5,2
94305,133.3%,7,50.0%,3,100.0%,2,-50.0%,1,2
94306,320.0%,2 1,400.0%,5,-50.0%,1,0.0%,2,2
95002,-20.0%,4,0.0%,5,-28.6%,5,16.7%,7,6
95008,166.7%,1 6,200.0%,6,0.0%,2,100.0%,2,1
95013,0.0%,2,-100.0%,-,0.0%,1,0.0%,-,-
95014,133.3%,1 19,-31.1%,5 1,155.2%,7 4,52.6%,2 9,1 9
95020,125.5%,2 21,53.1%,9 8,42.2%,6 4,80.0%,4 5,2 5
95030,54.1%,4 30,26.2%,2 79,11.6%,2 21,108.4%,1 98,9 5
95032,96.8%,1 85,46.9%,9 4,20.8%,6 4,32.5%,5 3,4 0
95035,716.7%,4 9,20.0%,6,25.0%,5,33.3%,4,3
95037,65.3%,3 95,44.0%,2 39,19.4%,1 66,25.2%,1 39,1 11
95046,79.2%,4 3,380.0%,2 4,25.0%,5,300.0%,4,1
95050,275.0%,1 5,100.0%,4,-50.0%,2,0.0%,4,4
95051,250.0%,1 4,100.0%,4,0.0%,2,0.0%,2,2
95054,300.0%,4,0.0%,1,0.0%,1,-100.0%,-,1
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
95070,105.6%,4 07,45.6%,1 98,28.3%,1 36,49.3%,1 06,7 1
95110,-6.3%,3 0,-5.9%,3 2,0.0%,3 4,-5.6%,3 4,3 6
95111,100.0%,5 0,13.6%,2 5,10.0%,2 2,-9.1%,2 0,2 2
95112,59.3%,8 6,-22.9%,5 4,-13.6%,7 0,-12.0%,8 1,9 2
95113,0.0%,-,0.0%,-,0.0%,-,0.0%,-,-
95116,33.3%,4 4,-35.3%,3 3,-29.2%,5 1,-7.7%,7 2,7 8
95117,233.3%,1 0,50.0%,3,0.0%,2,0.0%,2,2
95118,23.1%,1 6,-50.0%,1 3,-3.7%,2 6,-10.0%,2 7,3 0
95119,1200.0%,1 3,0.0%,1,-100.0%,-,0.0%,1,-
95120,141.9%,1 79,138.7%,7 4,47.6%,3 1,16.7%,2 1,1 8
95121,300.0%,4 0,-16.7%,1 0,9.1%,1 2,-15.4%,1 1,1 3
95122,76.9%,4 6,-16.1%,2 6,3.3%,3 1,-3.2%,3 0,3 1
95123,263.6%,4 0,83.3%,1 1,0.0%,6,-14.3%,6,7
95124,237.5%,2 7,166.7%,8,-25.0%,3,33.3%,4,3
95125,153.3%,3 8,0.0%,1 5,7.1%,1 5,40.0%,1 4,1 0
95126,3.7%,2 8,-10.0%,2 7,-3.2%,3 0,0.0%,3 1,3 1
95127,86.9%,1 14,17.3%,6 1,0.0%,5 2,6.1%,5 2,4 9
95128,133.3%,2 1,28.6%,9,0.0%,7,0.0%,7,7
95129,325.0%,1 7,33.3%,4,0.0%,3,0.0%,3,3
95130,0.0%,2,-100.0%,-,0.0%,1,0.0%,-,-
95131,175.0%,1 1,100.0%,4,100.0%,2,0.0%,1,1
95132,106.3%,3 3,45.5%,1 6,22.2%,1 1,-10.0%,9,1 0
95133,183.3%,1 7,20.0%,6,25.0%,5,100.0%,4,2
95134,1000.0%,1 1,0.0%,1,0.0%,1,0.0%,-,-
95135,260.0%,3 6,900.0%,1 0,-66.7%,1,-40.0%,3,5
95136,600.0%,2 1,0.0%,3,0.0%,-,-100.0%,-,1
95138,310.0%,4 1,42.9%,1 0,75.0%,7,-20.0%,4,5
95139,166.7%,8,200.0%,3,0.0%,1,0.0%,1,1
95140,22.7%,2 7,29.4%,2 2,0.0%,1 7,30.8%,1 7,1 3
95141,50.0%,3,0.0%,2,0.0%,2,0.0%,-,-
95148,461.5%,7 3,30.0%,1 3,25.0%,1 0,-20.0%,8,1 0
95003,123.1%,6 18,38.5%,2 77,4.2%,2 00,178.3%,1 92,6 9
95005,81.0%,6 77,50.8%,3 74,68.7%,2 48,42.7%,1 47,1 03
95006,37.1%,"1 ,153",44.8%,8 41,88.0%,5 81,37.3%,3 09,2 25
95007,0.0%,1 09,0.0%,-,0.0%,-,0.0%,-,-
95010,300.0%,1 2,200.0%,3,0.0%,1,0.0%,1,1
95017,15.8%,2 2,26.7%,1 9,50.0%,1 5,-37.5%,1 0,1 6
95018,63.0%,9 44,35.9%,5 79,62.0%,4 26,37.7%,2 63,1 91
95019,0.0%,5,0.0%,-,0.0%,-,0.0%,-,-
95033,77.2%,"1 ,180",18.5%,6 66,32.9%,5 62,13.1%,4 23,3 74
95041,0.0%,7 3,0.0%,-,0.0%,-,0.0%,-,-
95060,110.7%,8 26,49.0%,3 92,64.4%,2 63,21.2%,1 60,1 32
95062,137.5%,3 8,33.3%,1 6,-14.3%,1 2,-12.5%,1 4,1 6
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 34,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
95064,100.0%,6,200.0%,3,0.0%,1,0.0%,1,1
95065,129.8%,3 01,45.6%,1 31,28.6%,9 0,59.1%,7 0,4 4
95066,115.9%,9 37,83.1%,4 34,100.8%,2 37,51.3%,1 18,7 8
95073,88.7%,3 83,31.0%,2 03,20.2%,1 55,168.8%,1 29,4 8
95076,68.4%,5 49,42.4%,3 26,44.0%,2 29,26.2%,1 59,1 26
96001,67.2%,5 05,102.7%,3 02,8.8%,1 49,26.9%,1 37,1 08
96002,131.2%,1 78,108.1%,7 7,85.0%,3 7,42.9%,2 0,1 4
96003,51.5%,"1 ,127",54.0%,7 44,17.5%,4 83,38.4%,4 11,2 97
96007,96.5%,6 23,93.3%,3 17,41.4%,1 64,50.6%,1 16,7 7
96008,58.3%,1 33,27.3%,8 4,15.8%,6 6,42.5%,5 7,4 0
96013,77.6%,2 38,74.0%,1 34,26.2%,7 7,60.5%,6 1,3 8
96016,125.0%,6 3,55.6%,2 8,28.6%,1 8,40.0%,1 4,1 0
96017,-7.1%,3 9,40.0%,4 2,20.0%,3 0,25.0%,2 5,2 0
96019,56.9%,3 20,71.4%,2 04,33.7%,1 19,61.8%,8 9,5 5
96028,85.4%,7 6,86.4%,4 1,100.0%,2 2,57.1%,1 1,7
96033,48.1%,4 0,80.0%,2 7,50.0%,1 5,42.9%,1 0,7
96040,80.0%,2 7,114.3%,1 5,40.0%,7,0.0%,5,5
96047,52.6%,8 7,72.7%,5 7,-10.8%,3 3,60.9%,3 7,2 3
96051,19.7%,2 49,35.1%,2 08,8.5%,1 54,22.4%,1 42,1 16
96059,-100.0%,-,20.5%,4 7,0.0%,3 9,0.0%,-,-
96062,36.8%,5 2,52.0%,3 8,13.6%,2 5,37.5%,2 2,1 6
96065,28.4%,9 5,10.4%,7 4,13.6%,6 7,47.5%,5 9,4 0
96069,26.8%,9 0,29.1%,7 1,0.0%,5 5,14.6%,5 5,4 8
96071,29.4%,6 6,15.9%,5 1,15.8%,4 4,40.7%,3 8,2 7
96073,43.4%,1 09,49.0%,7 6,34.2%,5 1,11.8%,3 8,3 4
96076,0.0%,1 2,20.0%,1 2,-23.1%,1 0,18.2%,1 3,1 1
96087,80.0%,5 4,50.0%,3 0,100.0%,2 0,150.0%,1 0,4
96088,17.9%,8 17,65.8%,6 93,10.0%,4 18,29.7%,3 80,2 93
96089,0.0%,8,0.0%,-,0.0%,-,0.0%,-,-
96096,23.1%,9 6,39.3%,7 8,-17.6%,5 6,41.7%,6 8,4 8
95910,-15.4%,1 1,0.0%,1 3,0.0%,1 3,8.3%,1 3,1 2
95936,4.8%,8 8,9.1%,8 4,11.6%,7 7,21.1%,6 9,5 7
95944,22.2%,1 1,28.6%,9,0.0%,7,16.7%,7,6
96118,97.1%,6 7,47.8%,3 4,35.3%,2 3,-5.6%,1 7,1 8
96124,35.5%,8 4,12.7%,6 2,22.2%,5 5,55.2%,4 5,2 9
96125,11.9%,1 50,16.5%,1 34,19.8%,1 15,24.7%,9 6,7 7
96126,86.4%,4 1,83.3%,2 2,20.0%,1 2,66.7%,1 0,6
95568,-14.3%,6,0.0%,7,16.7%,7,100.0%,6,3
96014,58.8%,2 7,70.0%,1 7,11.1%,1 0,28.6%,9,7
96023,60.0%,1 6,25.0%,1 0,0.0%,8,100.0%,8,4
96025,23.3%,2 91,43.9%,2 36,11.6%,1 64,23.5%,1 47,1 19
